Points,Name,Position
23,Evgeny Medvedev,D
31,Jon Merrill,D
71,Marc Methot,D
40,Milan Michalek,LW/RW
63,Zbynek Michalek,D
33,Colin Miller,D
22,Drew Miller,LW/RW
115,J.T. Miller,C
88,Kevan Miller,D
72,John Mitchell,C
63,Torrey Mitchell,C
39,Willie Mitchell,D
123,Sean Monahan,C
57,Dominic Moore,C/LW
64,John Moore,D
25,Joe Morrow,D
51,Matt Moulson,LW
90,Connor Murphy,D
20,Ryan Murphy,D
86,Ryan Murray,D
119,Jake Muzzin,D
73,Tyler Myers,D
20,Jakub Nakladal,D
71,Vladislav Namestnikov,C/LW
80,Rick Nash,LW/RW
52,Riley Nash,C/RW
131,James Neal,RW/LW
65,Chris Neil,RW
98,Brock Nelson,LW/C
31,Patrik Nemeth,D
34,Nikita Nesterov,D
41,Andrej Nestrasil,C
66,Valeri Nichushkin,RW
102,Nino Niederreiter,RW/LW
113,Frans Nielsen,C
45,Matt Nieto,LW/RW
103,Matt Niskanen,D
22,Jordan Nolan,C/RW/LW
60,Joakim Nordstrom,LW/C
55,Ryan Nugent-Hopkins,C
74,Darnell Nurse,D
88,Gustav Nyquist,RW/LW
40,Eric Nystrom,LW/RW
134,Ryan O'Reilly,C
77,Johnny Oduya,D
118,Kyle Okposo,RW
74,Dmitry Orlov,D
63,Brooks Orpik,D
132,T.J. Oshie,RW/LW
178,Alex Ovechkin,LW/RW
31,Magnus Paajarvi,LW/RW
137,Max Pacioretty,LW
128,Jean-Gabriel Pageau,C
55,Iiro Pakarinen,RW/LW
91,Ondrej Palat,LW
136,Kyle Palmieri,RW/LW
127,Artemi Panarin,LW
29,Richard Panik,LW/RW
52,Cedric Paquette,C
93,Colton Parayko,D
80,Pierre-Alexandre Parenteau,RW
119,Zach Parise,LW
62,David Pastrnak,RW/LW
37,Greg Pateryn,D
184,Joe Pavelski,C/RW
81,Tanner Pearson,LW/RW
21,Anthony Peluso,RW
75,Mathieu Perreault,C/LW
92,David Perron,LW/RW
134,Corey Perry,RW
47,Brett Pesce,D
9,Nic Petan,LW/C
69,Alex Petrovic,D
51,Jeff Petry,D
80,Dion Phaneuf,D
101,Alex Pietrangelo,D
54,Brandon Pirri,C
102,Tomas Plekanec,C
26,Sergei Plotnikov,LW
113,Roman Polak,D
77,Jason Pominville,RW
45,Chris Porter,LW
30,Kevin Porter,C
6,Paul Postma,D
70,Benoit Pouliot,LW
34,Shane Prince,C/LW
28,Nate Prosser,D
56,Dalton Prout,D
18,Brandon Prust,LW/C
9,Matt Puempel,LW
18,Teemu Pulkkinen,LW/RW
68,Teddy Purcell,RW/LW
29,Mark Pysyk,D
43,Kyle Quincey,D
82,Michael Raffl,LW
94,Rickard Rakell,C
23,Tyler Randell,RW
90,Victor Rask,C
25,Dennis Rasmussen,C/LW
15,Mason Raymond,LW/RW
76,Matt Read,RW/LW
50,Ryan Reaves,RW
23,Zach Redmond,D
14,Mike Reilly,D
22,Griffin Reinhart,D
83,Sam Reinhart,C/RW
60,Mike Ribeiro,C
46,Brad Richards,C
21,Mike Richards,C/LW
80,Brad Richardson,RW/C
77,Tobias Rieder,RW/C
73,Morgan Rielly,D
39,Zac Rinaldo,C/LW/RW
118,Rasmus Ristolainen,D
26,Nick Ritchie,LW
85,Antoine Roussel,LW
45,Michal Rozsival,D
81,Kris Russell,D
36,Bryan Rust,RW
16,Tuomo Ruutu,LW/RW
108,Bobby Ryan,RW/LW
20,Kerby Rychel,LW
112,Brandon Saad,LW/RW
54,Miikka Salomaki,RW/LW
41,Mike Santorelli,C/RW
81,David Savard,D
36,Luca Sbisa,D
59,Marco Scandella,D
66,Colton Sceviour,C/RW
108,Mark Scheifele,C
134,Brayden Schenn,C/LW
86,Luke Schenn,D
63,David Schlemko,D
57,Nate Schmidt,D
12,Jordan Schroeder,C/RW
44,Justin Schultz,D
73,Nick Schultz,D
42,Jaden Schwartz,LW/C
35,Rob Scuderi,D
123,Brent Seabrook,D
118,Daniel Sedin,LW
68,Henrik Sedin,C
145,Tyler Seguin,C/RW
71,Dennis Seidenberg,D
21,Jiri Sekac,LW/C
78,Andrej Sekera,D
41,Damon Severson,D
103,Patrick Sharp,LW
107,Kevin Shattenkirk,D
84,Andrew Shaw,RW/C
38,Logan Shaw,RW
67,Riley Sheahan,C
20,Conor Sheary,LW
42,Nick Shore,C
102,Jakob Silfverberg,RW/LW
153,Wayne Simmonds,RW/LW
23,Colton Sissons,C/RW
51,Jack Skille,RW/LW
100,Jeff Skinner,LW
59,Jaccob Slavin,D
44,Brendan Smith,D
79,Craig Smith,RW
109,Reilly Smith,RW/LW
107,Zack Smith,C/LW
70,Devante Smith-Pelly,RW/C
93,Carl Soderberg,C
40,Nick Spaling,C/LW
112,Jason Spezza,C
74,Ryan Spooner,C/LW
92,Jared Spurgeon,D
81,Eric Staal,C/LW
134,Jordan Staal,C
58,Marc Staal,D
88,Drew Stafford,RW/C
44,Matt Stajan,C
71,Viktor Stalberg,LW/RW
133,Steven Stamkos,C/RW
93,Paul Stastny,C
92,Alexander Steen,LW/C
104,Lee Stempniak,RW
98,Derek Stepan,C
45,Chris Stewart,RW
69,Jarret Stoll,C
112,Mark Stone,RW
99,Michael Stone,D
42,Clayton Stoner,D
38,Brian Strait,D
81,Anton Stralman,D
56,Mark Streit,D
59,Ryan Strome,RW/C
62,Mark Stuart,D
91,P.K. Subban,D
43,Andrej Sustr,D
105,Ryan Suter,D
10,Viktor Svedberg,D
27,Max Talbot,C
68,Christopher Tanev,D
56,Alex Tanguay,LW/RW
130,Vladimir Tarasenko,RW
89,Tomas Tatar,LW/RW
136,John Tavares,C
6,Matt Tennyson,D
56,Teuvo Teravainen,C
37,Chris Terry,LW/RW
40,Nate Thompson,C
57,Chris Thorburn,RW/LW
124,Joe Thornton,C
21,Shawn Thornton,LW/RW
40,Chris Tierney,C
18,Viktor Tikhonov,RW/C
14,Jiri Tlusty,LW/RW
150,Jonathan Toews,C
104,Tyler Toffoli,C/RW/LW
39,Jordin Tootoo,RW
117,Vincent Trocheck,C
31,Zach Trotman,D
99,Jacob Trouba,D
61,Kyle Turris,C
39,Fedor Tyutin,D
28,R.J. Umberger,C/LW/RW
44,Scottie Upshall,RW/LW
55,James van Riemsdyk,LW
61,Trevor van Riemsdyk,D
59,Chris VandeVelde,C
68,Thomas Vanek,LW/RW
